COICOP,Indicator.Name,2022-05-31
,,
,,
,INDICE GLOBAL,"1,4 2,5 8,0"
I,Produits alimentaires et boissons non alcoolisées,"2,9 4,9 13,7"
,Produits alimentaires,"3,0 5,0 14,3"
,,
,dont:  Pains et céréales,"2,1 3,1 20,0"
,Viande,"2,1 6,2 14,1"
,Poisson et fruits de mer,"1,5 2,3 10,7"
,,
,Huiles et graisses,"0,8 7,0 27,6"
,Légumes,"9,0 7,6 11,4"
,Tubercules et plantains,"14,0 41,0 19,3"
,"Sel, épices, sauces et produits alimentaires n.d.a.","2,8 5,0 8,8"
II,"Boissons alcoolisées, tabacs et stupéfiants","3,1 1,8 7,5"
III,Articles d'habillement et chaussures,"0,1 0,7 3,8"
IV,"Logement, eau, gaz, électricité et autres combustibles","-1,3 -3,5 5,1"
,"Meubles, articles de ménage et entretien courant du",
V,,"0,8 2,0 4,2"
,foyer,
VI,Santé,"0,3 0,8 0,9"
VII,Transports,"1,5 6,6 12,7"
VIII,Communication,"0,0 -0,2 -0,1"
IX,Loisirs et culture,"0,0 0,6 7,9"
X,Enseignement,"0,0 0,4 -2,9"
XI,Restaurants et hôtels,"1,6 2,6 4,4"
XII,Biens et services divers,"0,4 1,0 3,8"
